Date,Visitor,G,Home,G,,Att.,LOG,Notes
2011-04-03,Calgary Flames,2,Colorado Avalanche,1,,13896,,
2011-04-03,Minnesota Wild,2,Detroit Red Wings,4,,20066,,
2011-04-03,New York Rangers,3,Philadelphia Flyers,2,SO,19788,,
2011-04-04,Boston Bruins,3,New York Rangers,5,,18200,,
2011-04-04,Los Angeles Kings,1,San Jose Sharks,6,,17562,,
2011-04-05,Tampa Bay Lightning,2,Buffalo Sabres,4,,18690,,
2011-04-05,Columbus Blue Jackets,0,Dallas Stars,3,,16012,,
2011-04-05,Vancouver Canucks,0,Edmonton Oilers,2,,16839,,
2011-04-05,Chicago Blackhawks,1,Montreal Canadiens,2,OT,21273,,
2011-04-05,Atlanta Thrashers,3,Nashville Predators,6,,16756,,
2011-04-05,Philadelphia Flyers,2,Ottawa Senators,5,,18397,,
2011-04-05,New Jersey Devils,2,Pittsburgh Penguins,4,,18331,,
2011-04-05,Colorado Avalanche,1,St. Louis Blues,3,,19150,,
2011-04-05,Washington Capitals,3,Toronto Maple Leafs,2,SO,19509,,
2011-04-06,San Jose Sharks,2,Anaheim Ducks,6,,15649,,
2011-04-06,New York Islanders,2,Boston Bruins,3,,17565,,
2011-04-06,Detroit Red Wings,0,Carolina Hurricanes,3,,17602,,
2011-04-06,Edmonton Oilers,1,Calgary Flames,6,,19289,,
2011-04-06,St. Louis Blues,3,Chicago Blackhawks,4,OT,21435,,
2011-04-06,Phoenix Coyotes,2,Los Angeles Kings,3,SO,18118,,
2011-04-06,Toronto Maple Leafs,2,New Jersey Devils,4,,14207,,
2011-04-06,Florida Panthers,2,Washington Capitals,5,,18398,,
2011-04-07,Colorado Avalanche,2,Dallas Stars,4,,15105,,
2011-04-07,Atlanta Thrashers,3,New York Rangers,0,,18200,,
2011-04-07,Montreal Canadiens,2,Ottawa Senators,3,OT,19809,,
2011-04-07,Minnesota Wild,0,Vancouver Canucks,5,,18860,,
2011-04-08,Los Angeles Kings,1,Anaheim Ducks,2,,17587,,
2011-04-08,Carolina Hurricanes,6,Atlanta Thrashers,1,,14652,,
2011-04-08,Philadelphia Flyers,3,Buffalo Sabres,4,OT,18690,,
2011-04-08,Dallas Stars,3,Colorado Avalanche,2,,14037,,
2011-04-08,Chicago Blackhawks,4,Detroit Red Wings,2,,20066,,
2011-04-08,Minnesota Wild,3,Edmonton Oilers,1,,16839,,
2011-04-08,Columbus Blue Jackets,1,Nashville Predators,4,,17113,,
2011-04-08,Pittsburgh Penguins,4,New York Islanders,3,SO,16250,,
2011-04-08,San Jose Sharks,3,Phoenix Coyotes,4,,17125,,
2011-04-08,Florida Panthers,2,Tampa Bay Lightning,4,,20444,,
2011-04-09,Ottawa Senators,1,Boston Bruins,3,,17565,,
2011-04-09,Tampa Bay Lightning,6,Carolina Hurricanes,2,,17805,,
2011-04-09,Buffalo Sabres,5,Columbus Blue Jackets,4,,18717,,
2011-04-09,Vancouver Canucks,3,Calgary Flames,2,OT,19289,,
2011-04-09,Washington Capitals,0,Florida Panthers,1,,18371,,
2011-04-09,Anaheim Ducks,3,Los Angeles Kings,1,,18203,,
2011-04-09,New Jersey Devils,2,New York Rangers,5,,18200,,
2011-04-09,New York Islanders,4,Philadelphia Flyers,7,,19909,,
2011-04-09,Phoenix Coyotes,1,San Jose Sharks,3,,17562,,
2011-04-09,Nashville Predators,0,St. Louis Blues,2,,19150,,
2011-04-09,Montreal Canadiens,4,Toronto Maple Leafs,1,,19676,,
2011-04-10,Pittsburgh Penguins,5,Atlanta Thrashers,2,,16085,,
2011-04-10,Detroit Red Wings,4,Chicago Blackhawks,3,,22046,,
2011-04-10,Edmonton Oilers,3,Colorado Avalanche,4,OT,17566,,
2011-04-10,Dallas Stars,3,Minnesota Wild,5,,18504,,
2011-04-10,Boston Bruins,2,New Jersey Devils,3,,17625,, 
2011-10-06,Philadelphia Flyers,2,Boston Bruins,1,,17565,,
2011-10-06,Montreal Canadiens,0,Toronto Maple Leafs,2,,19606,,
2011-10-06,Pittsburgh Penguins,4,Vancouver Canucks,3,SO,18860,,
2011-10-07,Anaheim Ducks,1,Buffalo Sabres,4,,13349,,NHL Premiere Series
2011-10-07,Tampa Bay Lightning,5,Carolina Hurricanes,1,,18680,,
2011-10-07,Nashville Predators,3,Columbus Blue Jackets,2,,18247,,
2011-10-07,Chicago Blackhawks,1,Dallas Stars,2,,15285,,
2011-10-07,Ottawa Senators,3,Detroit Red Wings,5,,20066,,
2011-10-07,New York Rangers,2,Los Angeles Kings,3,OT,13800,,NHL Premiere Series
2011-10-08,New York Rangers,1,Anaheim Ducks,2,SO,13800,,NHL Premiere Series
2011-10-08,Tampa Bay Lightning,1,Boston Bruins,4,,17565,,
2011-10-08,Pittsburgh Penguins,5,Calgary Flames,3,,19289,,
2011-10-08,Dallas Stars,2,Chicago Blackhawks,5,,21674,,
2011-10-08,Detroit Red Wings,3,Colorado Avalanche,0,,18007,,
2011-10-08,Buffalo Sabres,4,Los Angeles Kings,2,,14300,,NHL Premiere Series
2011-10-08,Columbus Blue Jackets,2,Minnesota Wild,4,,19040,,
2011-10-08,Philadelphia Flyers,3,New Jersey Devils,0,,17625,,
2011-10-08,Florida Panthers,2,New York Islanders,0,,16234,,
2011-10-08,Phoenix Coyotes,3,San Jose Sharks,6,,17562,,
2011-10-08,Nashville Predators,4,St. Louis Blues,2,,19150,,
2011-10-08,Ottawa Senators,5,Toronto Maple Leafs,6,,19324,,
2011-10-08,Carolina Hurricanes,3,Washington Capitals,4,OT,18506,,
2011-10-09,Pittsburgh Penguins,1,Edmonton Oilers,2,SO,16839,,
2011-10-09,Montreal Canadiens,5,Winnipeg Jets,1,,15004,,
2011-10-10,Colorado Avalanche,1,Boston Bruins,0,,17565,,
2011-10-10,Vancouver Canucks,3,Columbus Blue Jackets,2,,9187,,
2011-10-10,Phoenix Coyotes,1,Dallas Stars,2,SO,6306,,
2011-10-10,Carolina Hurricanes,2,New Jersey Devils,4,,12096,,
2011-10-10,Minnesota Wild,1,New York Islanders,2,,11278,,
2011-10-10,Calgary Flames,2,St. Louis Blues,5,,19150,,
2011-10-10,Tampa Bay Lightning,5,Washington Capitals,6,SO,18506,,
2011-10-11,Minnesota Wild,3,Ottawa Senators,4,SO,19455,,
2011-10-11,Florida Panthers,2,Pittsburgh Penguins,4,,18503,,
2011-10-12,Boston Bruins,2,Carolina Hurricanes,3,,16483,,
2011-10-12,Colorado Avalanche,3,Columbus Blue Jackets,2,SO,8986,,
2011-10-12,Vancouver Canucks,4,Philadelphia Flyers,5,,19632,,
2011-10-13,Winnipeg Jets,3,Chicago Blackhawks,4,,21175,,
2011-10-13,St. Louis Blues,2,Dallas Stars,3,,7949,,
2011-10-13,Vancouver Canucks,0,Detroit Red Wings,2,,20066,,
2011-10-13,Edmonton Oilers,1,Minnesota Wild,2,SO,15878,,
2011-10-13,Calgary Flames,4,Montreal Canadiens,1,,21273,,
2011-10-13,Los Angeles Kings,1,New Jersey Devils,2,SO,12256,,
2011-10-13,Phoenix Coyotes,5,Nashville Predators,2,,17113,,
2011-10-13,Tampa Bay Lightning,1,New York Islanders,5,,9759,,
2011-10-13,Colorado Avalanche,7,Ottawa Senators,1,,19239,,
2011-10-13,Washington Capitals,3,Pittsburgh Penguins,2,OT,18512,,
2011-10-14,San Jose Sharks,0,Anaheim Ducks,1,,17243,,
2011-10-14,Carolina Hurricanes,4,Buffalo Sabres,3,,18690,,
2011-10-15,Boston Bruins,3,Chicago Blackhawks,2,SO,22073,,
2011-10-15,Columbus Blue Jackets,2,Dallas Stars,4,,8305,,
2011-10-15,Vancouver Canucks,4,Edmonton Oilers,3,,16839,,
2011-10-15,Tampa Bay Lightning,2,Florida Panthers,3,SO,18352,,
2011-10-15,Detroit Red Wings,3,Minnesota Wild,2,OT,17104,,
2011-10-15,Colorado Avalanche,6,Montreal Canadiens,5,SO,21273,,
2011-10-15,New Jersey Devils,3,Nashville Predators,2,SO,17113,,
2011-10-15,New York Rangers,2,New York Islanders,4,,16234,,
2011-10-15,Los Angeles Kings,3,Philadelphia Flyers,2,OT,19644,,
2011-10-15,Winnipeg Jets,1,Phoenix Coyotes,4,,17132,,
2011-10-15,Buffalo Sabres,3,Pittsburgh Penguins,2,,18562,,
2011-10-15,St. Louis Blues,4,San Jose Sharks,2,,17562,,
2011-10-15,Calgary Flames,2,Toronto Maple Leafs,3,,19410,,
2011-10-15,Ottawa Senators,1,Washington Capitals,2,,18506,,
2011-10-16,St. Louis Blues,2,Anaheim Ducks,4,,14555,,
2011-10-17,Nashville Predators,1,Edmonton Oilers,3,,16839,,
2011-10-17,Anaheim Ducks,3,San Jose Sharks,2,,17562,,
2011-10-17,Florida Panthers,7,Tampa Bay Lightning,4,,19204,,
2011-10-17,Colorado Avalanche,3,Toronto Maple Leafs,2,OT,19359,,
2011-10-17,Pittsburgh Penguins,1,Winnipeg Jets,2,,15004,,
2011-10-18,Carolina Hurricanes,4,Boston Bruins,1,,17565,,
2011-10-18,Dallas Stars,3,Columbus Blue Jackets,2,,9158,,
2011-10-18,Edmonton Oilers,1,Calgary Flames,2,,19289,,
2011-10-18,St. Louis Blues,0,Los Angeles Kings,5,,18118,,
2011-10-18,Pittsburgh Penguins,4,Minnesota Wild,2,,17297,,
2011-10-18,Buffalo Sabres,3,Montreal Canadiens,1,,21273,,
2011-10-18,Philadelphia Flyers,7,Ottawa Senators,2,,18059,,
2011-10-18,Chicago Blackhawks,5,Phoenix Coyotes,2,,11051,,
2011-10-18,New York Rangers,4,Vancouver Canucks,0,,18860,,
2011-10-18,Florida Panthers,0,Washington Capitals,3,,18506,,
2011-10-19,Winnipeg Jets,3,Toronto Maple Leafs,4,SO,19514,,
2011-10-20,Toronto Maple Leafs,2,Boston Bruins,6,,17565,,
2011-10-20,New York Rangers,3,Calgary Flames,2,OT,19289,,
2011-10-20,Chicago Blackhawks,3,Colorado Avalanche,1,,17523,,
2011-10-20,Minnesota Wild,2,Edmonton Oilers,1,SO,16839,,
2011-10-20,Buffalo Sabres,3,Florida Panthers,0,,14811,,
2011-10-20,Winnipeg Jets,1,Ottawa Senators,4,,17919,,
2011-10-20,Washington Capitals,5,Philadelphia Flyers,2,,19658,,
2011-10-20,Los Angeles Kings,2,Phoenix Coyotes,0,,7128,,
2011-10-20,Montreal Canadiens,1,Pittsburgh Penguins,3,,18403,,
2011-10-20,New York Islanders,1,Tampa Bay Lightning,4,,18181,,
2011-10-20,Nashville Predators,1,Vancouver Canucks,5,,18860,,
2011-10-21,Dallas Stars,3,Anaheim Ducks,1,,12919,,
2011-10-21,Columbus Blue Jackets,2,Detroit Red Wings,5,,20066,,
2011-10-21,San Jose Sharks,4,New Jersey Devils,3,SO,14319,,
2011-10-21,Carolina Hurricanes,2,St. Louis Blues,3,OT,19150,,
2011-10-22,San Jose Sharks,4,Boston Bruins,2,,17565,,
2011-10-22,Nashville Predators,2,Calgary Flames,0,,19289,,
2011-10-22,Colorado Avalanche,5,Chicago Blackhawks,4,SO,21328,,
2011-10-22,New York Rangers,0,Edmonton Oilers,2,,16839,,
2011-10-22,New York Islanders,2,Florida Panthers,4,,15411,,
2011-10-22,Dallas Stars,0,Los Angeles Kings,1,,18118,,
2011-10-22,Toronto Maple Leafs,5,Montreal Canadiens,4,OT,21273,,
2011-10-22,Columbus Blue Jackets,3,Ottawa Senators,4,,18867,,
2011-10-22,St. Louis Blues,4,Philadelphia Flyers,2,,19593,,
2011-10-22,New Jersey Devils,1,Pittsburgh Penguins,4,,18535,,
2011-10-22,Buffalo Sabres,0,Tampa Bay Lightning,3,,19204,,
2011-10-22,Minnesota Wild,2,Vancouver Canucks,3,OT,18860,,
2011-10-22,Carolina Hurricanes,3,Winnipeg Jets,5,,15004,,
2011-10-22,Detroit Red Wings,1,Washington Capitals,7,,18506,,
2011-10-23,Phoenix Coyotes,5,Anaheim Ducks,4,,13240,,
2011-10-24,Florida Panthers,2,Montreal Canadiens,1,,21273,,
2011-10-24,Toronto Maple Leafs,2,Philadelphia Flyers,4,,19569,,
2011-10-24,New York Rangers,2,Winnipeg Jets,1,,15004,,
2011-10-25,Tampa Bay Lightning,4,Buffalo Sabres,3,,18690,,
2011-10-25,Ottawa Senators,3,Carolina Hurricanes,2,SO,12083,,
2011-10-25,Detroit Red Wings,1,Columbus Blue Jackets,4,,15100,,
2011-10-25,Anaheim Ducks,2,Chicago Blackhawks,3,SO,21247,,
2011-10-25,Vancouver Canucks,2,Edmonton Oilers,3,,16839,,
2011-10-25,New Jersey Devils,3,Los Angeles Kings,0,,18118,,
2011-10-25,San Jose Sharks,3,Nashville Predators,1,,15121,,
2011-10-25,Pittsburgh Penguins,3,New York Islanders,0,,10681,,
2011-10-25,Dallas Stars,3,Phoenix Coyotes,2,SO,6948,,
2011-10-26,Colorado Avalanche,2,Calgary Flames,4,,19289,,
2011-10-26,Philadelphia Flyers,1,Montreal Canadiens,5,,21273,,
2011-10-26,St. Louis Blues,3,Vancouver Canucks,0,,18860,,
2011-10-27,Montreal Canadiens,2,Boston Bruins,1,,17565,,
2011-10-27,Columbus Blue Jackets,2,Buffalo Sabres,4,,18690,,
2011-10-27,Los Angeles Kings,5,Dallas Stars,3,,8443,,
2011-10-27,Washington Capitals,1,Edmonton Oilers,2,,16839,,
2011-10-27,Anaheim Ducks,3,Minnesota Wild,2,,15723,,
2011-10-27,Tampa Bay Lightning,3,Nashville Predators,5,,16619,,
2011-10-27,Toronto Maple Leafs,4,New York Rangers,2,,18200,,
2011-10-27,Florida Panthers,3,Ottawa Senators,4,,18165,,
2011-10-27,Winnipeg Jets,9,Philadelphia Flyers,8,,19588,,
2011-10-27,New Jersey Devils,3,Phoenix Coyotes,5,,7434,,
2011-10-27,New York Islanders,2,Pittsburgh Penguins,3,SO,18461,,
2011-10-28,Chicago Blackhawks,0,Carolina Hurricanes,3,,16056,,
2011-10-28,St. Louis Blues,1,Calgary Flames,3,,19289,,
2011-10-28,Edmonton Oilers,3,Colorado Avalanche,1,,15057,,
2011-10-28,San Jose Sharks,4,Detroit Red Wings,2,,20066,,
2011-10-29,Florida Panthers,3,Buffalo Sabres,2,,18690,,
2011-10-29,Columbus Blue Jackets,2,Chicago Blackhawks,5,,21114,,
2011-10-29,New Jersey Devils,1,Dallas Stars,3,,11740,,
2011-10-29,Detroit Red Wings,0,Minnesota Wild,1,,17233,,
2011-10-29,Boston Bruins,2,Montreal Canadiens,4,,21273,,
2011-10-29,Anaheim Ducks,0,Nashville Predators,3,,16395,,
2011-10-29,San Jose Sharks,3,New York Islanders,2,OT,11742,,
2011-10-29,Ottawa Senators,5,New York Rangers,4,SO,18200,,
2011-10-29,Carolina Hurricanes,1,Philadelphia Flyers,5,,19683,,
2011-10-29,Los Angeles Kings,2,Phoenix Coyotes,3,OT,10379,,
2011-10-29,Winnipeg Jets,0,Tampa Bay Lightning,1,,19204,,
2011-10-29,Pittsburgh Penguins,3,Toronto Maple Leafs,4,,19526,,
2011-10-29,Washington Capitals,4,Vancouver Canucks,7,,18860,,
2011-10-30,Anaheim Ducks,1,Columbus Blue Jackets,3,,16022,,
2011-10-30,Los Angeles Kings,2,Colorado Avalanche,3,,12355,,
2011-10-30,St. Louis Blues,2,Edmonton Oilers,4,,16839,,
2011-10-30,Toronto Maple Leafs,2,Ottawa Senators,3,,19522,,
2011-10-31,Nashville Predators,4,Chicago Blackhawks,5,OT,20721,,
2011-10-31,Winnipeg Jets,4,Florida Panthers,3,SO,11855,,
2011-10-31,San Jose Sharks,2,New York Rangers,5,,17852,,
2011-11-01,Ottawa Senators,3,Boston Bruins,5,,17565,,
2011-11-01,Tampa Bay Lightning,2,Carolina Hurricanes,4,,13374,,
2011-11-01,Vancouver Canucks,5,Calgary Flames,1,,19289,,
2011-11-01,Minnesota Wild,2,Detroit Red Wings,1,OT,20066,,
2011-11-01,Anaheim Ducks,4,Washington Capitals,5,OT,18506,,
2011-11-02,Philadelphia Flyers,3,Buffalo Sabres,2,,18299,,
2011-11-02,Phoenix Coyotes,4,Colorado Avalanche,1,,12141,,
2011-11-02,Toronto Maple Leafs,5,New Jersey Devils,3,,13033,,
2011-11-03,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,14306,,
2011-11-03,Calgary Flames,4,Detroit Red Wings,1,,20066,,
2011-11-03,Chicago Blackhawks,3,Florida Panthers,2,SO,15929,,
2011-11-03,Edmonton Oilers,3,Los Angeles Kings,0,,18118,,
2011-11-03,Vancouver Canucks,1,Minnesota Wild,5,,16534,,
2011-11-03,Winnipeg Jets,3,New York Islanders,0,,10157,,
2011-11-03,Anaheim Ducks,1,New York Rangers,2,SO,18200,,
2011-11-03,New Jersey Devils,4,Philadelphia Flyers,3,SO,19667,,
2011-11-03,Nashville Predators,3,Phoenix Coyotes,0,,6738,,
2011-11-03,Pittsburgh Penguins,3,San Jose Sharks,4,SO,17562,,
2011-11-04,Calgary Flames,1,Buffalo Sabres,2,,18690,,
2011-11-04,Washington Capitals,5,Carolina Hurricanes,1,,14589,,
2011-11-04,Colorado Avalanche,6,Dallas Stars,7,OT,11981,,
2011-11-04,Montreal Canadiens,2,Ottawa Senators,1,,20329,,
2011-11-04,Vancouver Canucks,2,St. Louis Blues,3,,19150,,
2011-11-04,Chicago Blackhawks,4,Tampa Bay Lightning,5,OT,19204,,
2011-11-05,Anaheim Ducks,0,Detroit Red Wings,5,,20066,,
2011-11-05,Pittsburgh Penguins,3,Los Angeles Kings,2,SO,18118,,
2011-11-05,St. Louis Blues,1,Minnesota Wild,2,,16917,,
2011-11-05,Winnipeg Jets,2,New Jersey Devils,3,OT,14952,,
2011-11-05,Washington Capitals,3,New York Islanders,5,,14812,,
2011-11-05,Montreal Canadiens,3,New York Rangers,5,,18200,,
2011-11-05,Buffalo Sabres,3,Ottawa Senators,2,SO,18805,,
2011-11-05,Columbus Blue Jackets,2,Philadelphia Flyers,9,,19784,,
2011-11-05,Edmonton Oilers,2,Phoenix Coyotes,4,,13381,,
2011-11-05,Nashville Predators,4,San Jose Sharks,3,OT,17562,,
2011-11-05,Boston Bruins,7,Toronto Maple Leafs,0,,19497,,
2011-11-06,Dallas Stars,5,Carolina Hurricanes,2,,14815,,
2011-11-06,Vancouver Canucks,6,Chicago Blackhawks,2,,21883,,
2011-11-06,Calgary Flames,2,Colorado Avalanche,1,,15356,,
2011-11-06,Tampa Bay Lightning,4,Florida Panthers,3,SO,15066,,
2011-11-06,Winnipeg Jets,0,New York Rangers,3,,18200,,
2011-11-07,New York Islanders,2,Boston Bruins,6,,17565,,
2011-11-07,Los Angeles Kings,2,San Jose Sharks,4,,17562,,
2011-11-08,Winnipeg Jets,5,Buffalo Sabres,6,OT,18690,,
2011-11-08,Minnesota Wild,3,Calgary Flames,0,,19289,,
2011-11-08,Colorado Avalanche,2,Detroit Red Wings,5,,20066,,
2011-11-08,Nashville Predators,3,Los Angeles Kings,4,,17963,,
2011-11-08,Edmonton Oilers,3,Montreal Canadiens,1,,21273,,
2011-11-08,Carolina Hurricanes,2,New Jersey Devils,3,,13056,,
2011-11-08,Chicago Blackhawks,0,St. Louis Blues,3,,19150,,
2011-11-08,Florida Panthers,5,Toronto Maple Leafs,1,,19414,,
2011-11-08,Dallas Stars,5,Washington Capitals,2,,18506,,
2011-11-09,Nashville Predators,4,Anaheim Ducks,2,,13529,,
2011-11-09,New York Rangers,3,Ottawa Senators,2,,19543,,
2011-11-09,Philadelphia Flyers,1,Tampa Bay Lightning,2,OT,19204,,
2011-11-10,Edmonton Oilers,3,Boston Bruins,6,,17565,,
2011-11-10,Chicago Blackhawks,6,Columbus Blue Jackets,3,,15048,,
2011-11-10,New York Islanders,3,Colorado Avalanche,4,OT,13221,,
2011-11-10,Vancouver Canucks,3,Los Angeles Kings,2,,18118,,
2011-11-10,Montreal Canadiens,3,Phoenix Coyotes,2,OT,14138,,
2011-11-10,Minnesota Wild,1,San Jose Sharks,3,,17562,,
2011-11-10,Toronto Maple Leafs,3,St. Louis Blues,2,SO,19150,,
2011-11-10,Florida Panthers,5,Winnipeg Jets,2,,15004,,
2011-11-11,Vancouver Canucks,3,Anaheim Ducks,4,,17339,,
2011-11-11,Ottawa Senators,1,Buffalo Sabres,5,,18690,,
2011-11-11,Calgary Flames,1,Chicago Blackhawks,4,,21720,,
2011-11-11,Edmonton Oilers,0,Detroit Red Wings,3,,20066,,
2011-11-11,Washington Capitals,3,New Jersey Devils,1,,15230,,
2011-11-11,Carolina Hurricanes,1,New York Rangers,5,,18200,,
2011-11-11,Dallas Stars,1,Pittsburgh Penguins,3,,18585,,
2011-11-12,Buffalo Sabres,2,Boston Bruins,6,,17565,,
2011-11-12,Pittsburgh Penguins,3,Carolina Hurricanes,5,,16260,,
2011-11-12,Winnipeg Jets,1,Columbus Blue Jackets,2,,15581,,
2011-11-12,Calgary Flames,4,Colorado Avalanche,3,,14919,,
2011-11-12,Dallas Stars,2,Detroit Red Wings,5,,20066,,
2011-11-12,Minnesota Wild,2,Los Angeles Kings,5,,18118,,
2011-11-12,Montreal Canadiens,2,Nashville Predators,1,OT,17113,,
2011-11-12,Phoenix Coyotes,3,San Jose Sharks,0,,17562,,
2011-11-12,Tampa Bay Lightning,0,St. Louis Blues,3,,19150,,
2011-11-12,Ottawa Senators,5,Toronto Maple Leafs,2,,19553,,
2011-11-12,New Jersey Devils,3,Washington Capitals,2,SO,18506,,
2011-11-13,Minnesota Wild,3,Anaheim Ducks,2,,13803,,
2011-11-13,Edmonton Oilers,3,Chicago Blackhawks,6,,21110,,
2011-11-13,Philadelphia Flyers,3,Florida Panthers,2,,15215,,
2011-11-13,New York Islanders,1,Vancouver Canucks,4,,18860,,
2011-11-14,Philadelphia Flyers,5,Carolina Hurricanes,3,,14491,,
2011-11-14,Buffalo Sabres,3,Montreal Canadiens,2,SO,21273,,
2011-11-14,Tampa Bay Lightning,2,Winnipeg Jets,5,,15004,,
2011-11-15,New Jersey Devils,3,Boston Bruins,4,,17565,,
2011-11-15,Minnesota Wild,4,Columbus Blue Jackets,2,,10833,,
2011-11-15,Ottawa Senators,3,Calgary Flames,1,,19289,,
2011-11-15,Florida Panthers,6,Dallas Stars,0,,10175,,
2011-11-15,Washington Capitals,1,Nashville Predators,3,,14863,,
2011-11-15,New York Rangers,4,New York Islanders,2,,16234,,
2011-11-15,Colorado Avalanche,3,Pittsburgh Penguins,6,,18483,,
2011-11-15,Detroit Red Wings,1,St. Louis Blues,2,,19150,,
2011-11-15,Phoenix Coyotes,3,Toronto Maple Leafs,2,SO,19522,,
2011-11-16,New Jersey Devils,5,Buffalo Sabres,3,,18690,,
2011-11-16,Anaheim Ducks,1,Los Angeles Kings,2,SO,18118,,
2011-11-16,Carolina Hurricanes,0,Montreal Canadiens,4,,21273,,
2011-11-16,Chicago Blackhawks,5,Vancouver Canucks,1,,18860,,
2011-11-17,Los Angeles Kings,5,Anaheim Ducks,3,,15412,,
2011-11-17,Columbus Blue Jackets,1,Boston Bruins,2,SO,17565,,
2011-11-17,Ottawa Senators,5,Edmonton Oilers,2,,16839,,
2011-11-17,Colorado Avalanche,0,Minnesota Wild,1,,16779,,
2011-11-17,Toronto Maple Leafs,1,Nashville Predators,4,,16135,,
2011-11-17,Montreal Canadiens,3,New York Islanders,4,,9928,,
2011-11-17,Phoenix Coyotes,1,Philadelphia Flyers,2,,19610,,
2011-11-17,Detroit Red Wings,2,San Jose Sharks,5,,17562,,
2011-11-17,Florida Panthers,1,St. Louis Blues,4,,17642,,
2011-11-17,Pittsburgh Penguins,1,Tampa Bay Lightning,4,,18509,,
2011-11-17,Washington Capitals,1,Winnipeg Jets,4,,15004,,
2011-11-18,Buffalo Sabres,1,Carolina Hurricanes,0,,15072,,
2011-11-18,Chicago Blackhawks,2,Calgary Flames,5,,19289,,
2011-11-18,Dallas Stars,0,Colorado Avalanche,3,,16091,,
2011-11-19,Phoenix Coyotes,4,Buffalo Sabres,2,,18690,,
2011-11-19,San Jose Sharks,4,Dallas Stars,1,,13711,,
2011-11-19,Chicago Blackhawks,2,Edmonton Oilers,9,,16839,,
2011-11-19,Pittsburgh Penguins,2,Florida Panthers,3,,18071,,
2011-11-19,Detroit Red Wings,4,Los Angeles Kings,1,,18118,,
2011-11-19,St. Louis Blues,2,Minnesota Wild,3,SO,17259,,
2011-11-19,New York Rangers,0,Montreal Canadiens,4,,21273,,
2011-11-19,Columbus Blue Jackets,4,Nashville Predators,3,OT,16776,,
2011-11-19,Boston Bruins,6,New York Islanders,0,,16011,,
2011-11-19,New Jersey Devils,4,Tampa Bay Lightning,2,,18894,,
2011-11-19,Washington Capitals,1,Toronto Maple Leafs,7,,19594,,
2011-11-19,Philadelphia Flyers,4,Winnipeg Jets,6,,15004,,
2011-11-20,Detroit Red Wings,4,Anaheim Ducks,2,,17229,,
2011-11-20,Toronto Maple Leafs,2,Carolina Hurricanes,3,,13187,,
2011-11-20,San Jose Sharks,4,Colorado Avalanche,1,,15013,,
2011-11-20,Ottawa Senators,1,Vancouver Canucks,2,OT,18890,,
2011-11-21,Calgary Flames,1,Columbus Blue Jackets,4,,11629,,
2011-11-21,Edmonton Oilers,1,Dallas Stars,4,,11458,,
2011-11-21,New Jersey Devils,3,Florida Panthers,4,,13122,,
2011-11-21,Boston Bruins,1,Montreal Canadiens,0,,21273,,
2011-11-21,Carolina Hurricanes,4,Philadelphia Flyers,2,,19632,,
2011-11-21,New York Islanders,0,Pittsburgh Penguins,5,,18571,,
2011-11-21,Phoenix Coyotes,3,Washington Capitals,4,,18506,,
2011-11-22,Edmonton Oilers,6,Nashville Predators,2,,16838,,
2011-11-22,Los Angeles Kings,3,St. Louis Blues,2,,18178,,
2011-11-22,Toronto Maple Leafs,7,Tampa Bay Lightning,1,,19204,,
2011-11-23,Boston Bruins,4,Buffalo Sabres,3,SO,18690,,
2011-11-23,Montreal Canadiens,4,Carolina Hurricanes,3,SO,14862,,
2011-11-23,Vancouver Canucks,3,Colorado Avalanche,0,,15538,,
2011-11-23,Los Angeles Kings,2,Dallas Stars,3,OT,11779,,
2011-11-23,Calgary Flames,3,Detroit Red Wings,5,,20066,,
2011-11-23,New York Rangers,1,Florida Panthers,2,,17461,,
2011-11-23,Nashville Predators,2,Minnesota Wild,3,,16981,,
2011-11-23,Columbus Blue Jackets,1,New Jersey Devils,2,SO,15585,,
2011-11-23,Philadelphia Flyers,4,New York Islanders,3,OT,11086,,
2011-11-23,Anaheim Ducks,2,Phoenix Coyotes,4,,9124,,
2011-11-23,St. Louis Blues,3,Pittsburgh Penguins,2,OT,18583,,
2011-11-23,Chicago Blackhawks,0,San Jose Sharks,1,,17562,,
2011-11-23,Winnipeg Jets,3,Washington Capitals,4,OT,18506,,
2011-11-25,Chicago Blackhawks,6,Anaheim Ducks,5,,17174,,
2011-11-25,Detroit Red Wings,3,Boston Bruins,2,SO,17565,,
2011-11-25,Winnipeg Jets,3,Carolina Hurricanes,1,,15718,,
2011-11-25,Buffalo Sabres,1,Columbus Blue Jackets,5,,16705,,
2011-11-25,Toronto Maple Leafs,4,Dallas Stars,3,SO,18532,,
2011-11-25,Tampa Bay Lightning,2,Florida Panthers,1,OT,17380,,
2011-11-25,Edmonton Oilers,5,Minnesota Wild,2,,18092,,
2011-11-25,New Jersey Devils,1,New York Islanders,0,,15358,,
2011-11-25,Montreal Canadiens,1,Philadelphia Flyers,3,,19991,,
2011-11-25,Vancouver Canucks,5,Phoenix Coyotes,0,,14569,,
2011-11-25,Ottawa Senators,3,Pittsburgh Penguins,6,,18610,,
2011-11-25,Calgary Flames,0,St. Louis Blues,2,,19150,,
2011-11-25,New York Rangers,6,Washington Capitals,3,,18506,,
2011-11-26,Winnipeg Jets,2,Boston Bruins,4,,17565,,
